Source,Page,Category,Climate Problem,Solution Name,Technologies,Description
"Calgary, Alberta, Canada",104,Water-Related Issues,"Urban flooding, Coastal flooding (incl. sea level rise)",Watershed Investment Strategy,"Geographic Information Systems (GIS), water management frameworks",A structured approach to investing in watershed systems to enhance their capacity to manage stormwater and mitigate flooding impacts.
"Calgary, Alberta, Canada",109,Water-Related Issues,Urban flooding,Municipal Infrastructure Recovery Program (MIRP),"Reporting framework, Online mapping tool","The MIRP was established immediately after the flood to track, monitor, and report on the recovery of City of Calgary infrastructure and assets, helping maintain public services and reduce financial risk."
"Calgary, Alberta, Canada",110,General resilience strategy,General infrastructure resilience,Benefit-Cost and Return on Investment Toolkits,"Data analysis tools, economic modeling software","""A research and development project to adapt existing benefit-cost and return on investment toolkits to the Calgary context” that includes social, cultural, and environmental impacts."
"Calgary, Alberta, Canada",113,Water-Related Issues,Water stress,Water Supply and Wastewater Treatment,"Water treatment technology, wastewater management systems",The City provides drinking water and wastewater treatment to ensure a reliable water supply for current and future generations.
"Calgary, Alberta, Canada",114,Water-Related Issues,Flood and drought mitigation,Integrated Watershed Management Approach,"Infrastructure investment, stormwater management systems, water efficiency technologies","The City’s Integrated Watershed Management approach seeks to ""protect public health and the environment, while strengthening our resiliency to a changing climate."" It includes investments in infrastructure to build resiliency against climate change, manage water demand, and reduce stormwater impacts."
"Calgary, Alberta, Canada",115,Water-Related Issues,Flood management and water shortages,Glenmore Dam Upgrade,"Concrete work, Steel gate and hoist system, Integrated water management services","The upgrade of the Glenmore Dam aims to provide greater water management services and improve the ease of operation for Calgary, specifically to manage flood risks and address water shortages during peak flows."
"Calgary, Alberta, Canada",116,Water-Related Issues,Impacts from climate change such as high intensity storms and wildfires,Watershed Investment Strategy,"Green stormwater infrastructure, Natural infrastructure management, Water resources management tools","The strategy aims to protect natural infrastructure and build green stormwater infrastructure to manage the stress on water systems caused by population growth, development, and climate change. It includes collaboration with various stakeholders and identifies mechanisms for financing partnerships and projects that benefit the watershed."
"Calgary, Alberta, Canada",136,Extreme Weather Events,Impact of extreme weather events and climatic changes,Climate Resilience Strategy,"Strategic planning frameworks, Resilience assessment tools","The Climate Resilience Strategy provides the main direction for Climate Resiliency in Calgary, focusing on actions to help respond to a changing climate."
"Boulder, Colorado, USA",15,Water-Related Issues,Water stress,Source Water Protection,"Water storage, watershed management","Investment in source water protection is crucial for Boulder to secure adequate water supply, especially by storing water during wetter years for use in drier years."
"Boulder, Colorado, USA",16,Water-Related Issues,Flood damage to property,Community Rating System (CRS),"Risk assessment tools, community engagement platforms","The federal Community Rating System provides discounts on flood insurance for communities that exceed required measures to prevent and reduce flood damage, encouraging local efforts to enhance flood resilience."
"Boulder, Colorado, USA",25,General resilience building and assessment methodologies,Lack of capacity in assessing and monitoring built and environmental information,Trimble Geospatial Technical Solutions,"Geospatial technology, Data analytics, Environmental monitoring","""Trimble...provides geospatial technical solutions and domains to capture, measure, analyze, monitor and share built and environmental information."" This partnership allows Boulder to leverage advanced geospatial data to enhance resilience assessments and decision-making processes."
"Boulder, Colorado, USA",31,Extreme Weather Events,Lack of understanding of complex risk and resilience themes,Artistic Engagement for Community Risk Awareness,"Community art projects, digital storytelling platforms","""Engage the creative power of the arts to convey and involve people in complex risk and resilience themes,"" using art to foster community engagement and education."
"Boulder, Colorado, USA",32,"Extreme Weather Events, Health Risks",Local neighborhood capacity to respond to emergencies,Community-centered disaster preparedness training initiative,"Volunteer coordination platforms, training modules, community engagement applications","The city will develop a citizen corps disaster preparedness training initiative to enhance community and individual preparedness, emphasizing social connections and risk awareness."
"Boulder, Colorado, USA",33,Extreme Weather Events,Extreme Weather Events (Flooding),Leading and Managing Community Volunteers in Disaster Workshop,"Volunteer management software, training resources, disaster management frameworks","This workshop aims to create the capacity to effectively manage spontaneous volunteerism during disasters, ensuring volunteers are coordinated, equipped, and supported, thus enhancing recovery efforts."
"Boulder, Colorado, USA",34,Health Risks (involves communication and awareness),Community awareness and engagement in resilience,Arts as a Medium for Engagement,"Digital communication platforms, collaborative arts tools, community engagement software","""Engage the creative power of the arts to convey and involve people in complex risk and resilience themes,"" enhancing community involvement and understanding of resilience."
"Boulder, Colorado, USA",37,All categories (General adaptation and resilience),Need for innovative solutions to local climate challenges,Community Data Crowdsourcing via Challenges and Hackathons,"Mobile technology, data crowdsourcing platforms, hackathon software",Driving the creative use of community data through competitive challenges and hackathons to develop new solutions for climate adaptation and resilience.
"Boulder, Colorado, USA",38,All categories (addressing multiple problems indirectly),Complexity of scientific and citizen science data making it inaccessible,Data Visualization Systems,"Data visualization tools, Big data analytics, Artistic representation technologies","The city will enhance public understanding of climate data by collaborating with artists and media professionals to create compelling visual representations of scientific and citizen science data, improving accessibility and engagement with climate issues."
"Boulder, Colorado, USA",39,"Extreme Weather Events, Water-Related Issues, Health Risks, Geological Hazards",Collective problems related to climate change impacts,Community data and technology challenges,"Community dashboarding, Open-data portal, Technological creativity tools","By creating data and technology challenges focused on community data, Boulder encourages the use of local expertise to identify and solve resilience issues related to various climate problems."
"Boulder, Colorado, USA",41,Extreme Weather Events,Transformation of energy systems amidst climate challenges,Core Resilience Principles in System Design,"Renewable energy sources, energy management systems","The energy system's design is focused on resilience principles such as flexibility, redundancy, and robustness, which are applied as additional drivers in the design of the new energy system amidst ongoing climate adaptations."
"Boulder, Colorado, USA",44,"Extreme Weather Events, Water-Related Issues",Preparing for a wider range of possible future environmental conditions,Scenario Planning,"Modeling and simulation software, decision support systems","""A scenario-based process for planning that allows us to test programs, actions and investments against different plausible potential future conditions and prioritize actions that represent 'no or low regrets' strategies."""
"Boulder, Colorado, USA",46,Geological Hazards,Managing wood debris from Emerald Ash Borer infestation,Tree Debris to Opportunity Project,"Wood milling tools, Makerspace technology","The ""Tree Debris to Opportunity"" project transforms infested wood debris into useful items, providing training to participants through a partnership with the Bridge House Ready to Work program. This initiative supports ecological management while also addressing social needs."
"Boulder, Colorado, USA",47,Health Risks,Reducing homelessness as a result of increased vulnerability due to climate-related stresses.,Create Adaptive Social Services,"Predictive analytics, data monitoring systems","""Designing an adaptive and predictive social service network"" that can help identify and preemptively address factors that may lead individuals and families into homelessness."
"Boulder, Colorado, USA",49,Geological Hazards,Managing ecosystems amid changing climate conditions,Integrated Ecosystem Management,"Environmental management systems, Green infrastructure planning tools","""Develop an integrated approach to managing ecosystems and green infrastructure."" This strategy focuses on maintaining ecosystem health to support community resilience against geological hazards."
"Tulsa, Oklahoma",75,Health Risks,"Health risks faced by vulnerable populations, including increased healthcare access and cultural competency, which may be exacerbated by extreme weather events and health risks.",Expand the Community Health Worker model,"Health information systems, training programs, community outreach technology","""Implementing cultural competency trainings and expanding the community health care worker model will improve Tulsans’ health as it will make the health care experience more welcoming and informative."""
"Tulsa, Oklahoma",79,Health Risks,Poor health outcomes related to social determinants of health,MyHealth Access Network and Oklahoma’s Route 66 AHC program,"Data collection, Secure data exchange, Electronic referrals","MyHealth Access Network’s program screens over 75,000 Oklahomans each year for social needs that can lead to poor health outcomes and connects patients with social service ""navigators"" to evaluate their needs and improve their situation."
"Tulsa, Oklahoma",80,Extreme Weather Events,Disruption in operations due to emergencies,Small business preparedness programs,"Business continuity planning tools, Risk management software","""Prepare small businesses to reduce disruption in operations"" by providing training and resources to enhance their resilience against disasters."
"Tulsa, Oklahoma",81,Water-Related Issues,Stormwater mitigation and heat stress reduction,Up With Trees program,"Urban forestry management, tree planting technologies","The Up With Trees initiative focuses on beautifying Tulsa by planting trees to create urban forestry awareness, including planting trees for stormwater mitigation and shade along the Osage Prairie Trail."
"Tulsa, Oklahoma",82,Extreme Weather Events,Disruptions from emergencies and disasters,Training for Renters and Small Businesses,"Training programs, educational resources, disaster preparedness tools","""SBP will train renters and small businesses in North, West, and East Tulsa by providing education on preventative measures to mitigate the effects of disasters."" This training includes developing business continuity plans and household emergency plans."
"Tulsa, Oklahoma",83,Extreme Weather Events,Natural disasters and extreme weather impacts,Emergency Mobility communication technology,"Mobile app technology, real-time communication systems","The Emergency Mobility communication technology will notify residents in the event of city-wide emergencies and natural disasters, providing alternative transportation routes, safe locations, key destinations, and actions to face emergencies."
"Tulsa, Oklahoma",122,Extreme Weather Events,Preparing all Tulsans to weather adverse events,Utilize Emergency Mobility Plan technology,"Mobility planning software, emergency response technology","""Utilize Emergency Mobility Plan technology."""
"Nashville, Tennessee, USA",26,Water-Related Issues,Urban flooding,Multifunctional public open space for flood mitigation,"GIS planning, landscape architecture","""Reimagine Nashville’s downtown flood mitigation strategies on the east bank of the Cumberland River in a multifunctional public open space"" to address urban flooding risks."
"Nashville, Tennessee, USA",29,Extreme Weather Events,Power outages during extreme weather events,Establish microgrid for emergency response,"Microgrid, solar energy","""Create microgrid with solar for emergency response center or shelter so power can be maintained when grid goes down."" This solution aims to improve the resiliency of the power grid by ensuring essential services remain operational during emergencies."
"Nashville, Tennessee, USA",34,Water-Related Issues,Urban flooding,Develop PSC Metals property into public park for flood mitigation,"Flood modeling software, landscape restoration techniques","""Consultants will model the flood mitigation impact of site to determine its capacity to lessen the burden on downstream neighborhoods."" This approach aims to improve water quality, expand access to open space, and improve resiliency against flooding."
"Nashville, Tennessee, USA",35,Water-Related Issues,Urban flooding,Create and implement a short list of GI projects,"Project management software, Green infrastructure design tools",This action involves the creation of a prioritized list of green infrastructure projects to be undertaken over the next five years to address runoff and improve water quality.
"Nashville, Tennessee, USA",36,Water-Related Issues,Water quality improvement and urban resilience,Establish a Tree Enhancement Program for Metro properties,"Urban asset management tools, ecological assessment technologies",This program focuses on enhancing tree management and maintenance on public properties to boost urban ecosystem services.
"Nashville, Tennessee, USA",41,Extreme Weather Events,Extreme heat and cold,"For existing housing, establish graduated pricing scale where we impose surcharges for higher energy use intensity","Pricing models, energy management systems","""Incentivizes energy-efficient measures for existing housing stock."""
"Nashville, Tennessee, USA",52,Water-Related Issues,"Urban flooding, Access to natural resources, and recreational opportunities",Expand Greenways,"Geographic Information Systems (GIS), landscape architecture design tools","Expanding greenways and adopting a no-closure policy for all current and planned greenways ensures connectivity and access to natural features, which can help manage flooding and improve community resilience."
"Nashville, Tennessee, USA",53,Water-Related Issues,"Urban flooding, Water stress",Expand Greenways,"Urban planning, GIS mapping, community engagement tools","The construction of greenways provides valuable greenspace for conservation and recreation, which can enhance natural drainage and reduce urban flooding risk while improving water management in areas facing water stress."
"El Paso, Texas, USA",40,Health Risks,Limited capacity for emergency response and volunteerism,Citizen Training Programs,"Online training modules, community engagement platforms, data management systems",Development of citizen training programs focused on emergency preparedness and community support during extreme heat events. These programs would increase community resilience by training volunteers to assist the vulnerable populations.
"El Paso, Texas, USA",42,Water-Related Issues,Water stress,Desalination plant,"Desalination technologies, brackish water treatment","The El Paso Water Utilities operates the largest inland desalination plant, which converts brackish water into drinking water, providing a vital source for the region's future water needs."
"El Paso, Texas, USA",43,Water-Related Issues,Urban flooding,Comprehensive Mapping Study,"Geographic Information Systems (GIS), Environmental mapping","""Plan El Paso, 2012, recommended production of a comprehensive map illustrating critical arroyos and related ecologically sensitive lands as a part of ongoing planning efforts."" This mapping would aid in integrating natural and man-made systems for stormwater management."
"El Paso, Texas, USA",57,"Extreme Weather Events, Water-Related Issues","Flooding, heat, energy, and citizen mobility",Infrastructure Projects for Co-Benefits,"Smart infrastructure systems, performance metrics tools","""Design and implement infrastructure projects that maximize co-benefits, simultaneously addressing climatic and social stressors"" by deploying best practices and identifying key performance-based metrics to assess infrastructure resilience."
"El Paso, Texas, USA",66,"Water-Related Issues, Health Risks","Urban flooding, Heat stress",Green Infrastructure,Not specified,"""Best practices for reducing runoff volume, improving water quality, minimizing heat island effect and maximizing energy efficiency will be prioritized as infrastructure development projects are implemented."" The solution emphasizes deploying ""green infrastructure"" to manage water and improve community health and environment."
"El Paso, Texas, USA",80,Water-Related Issues,Urban flooding,Ecosystem Services Assessment,"Economic analysis methods, environmental assessment tools",The assessment of ecosystem services highlights the benefits of the shrublands which can modulate flood events and provide erosion control. This indicates an adaptation strategy that leverages natural capital to address urban flooding challenges.
"El Paso, Texas, USA",92,Water-Related Issues,"Increased water demand, Water stress",Resilience Ambassadors Program,"Pre-rinse sprayers, Faucet aerators, Caulking, Weather-stripping, Mini-retrofits","The program trains volunteers in sustainability and neighborhood improvement skills to help decrease energy and water use in the community. This includes training on installing pre-rinse sprayers and faucet aerators, which can lead to reduced water consumption."
"El Paso, Texas, USA",93,Water-Related Issues,Water stress,Resilience Ambassadors,"Water efficiency technology (aerators), Community engagement strategies","The Resilience Ambassadors program trained community volunteers in water and energy retrofits, leading to a significant reduction in water usage and costs for a local business through the installation of aerators."
"Honolulu, Hawaii",4,Extreme Weather Events,Disaster preparedness,Contextual social vulnerability data development,"Data analytics, geographic information systems (GIS), community engagement tools","The development of ""contextual social vulnerability data"" aims to improve disaster preparedness and resilience among communities facing extreme weather events, by identifying the most vulnerable populations."
"Honolulu, Hawaii",7,"Extreme Heat, Water-Related Issues",Heatwaves and flooding,Metropolitan-scale Urban Forest Strategy,"Urban forest management systems, Biodiversity monitoring tools","Melbourne is developing a strategy to expand, link, and manage a metropolitan-scale urban forest to improve biodiversity and reduce hazards from heatwaves and flooding."
"Honolulu, Hawaii",13,Water-Related Issues (indirectly linked to easing urban flooding stress through reduced reliance on cars),Safety concerns deterring bicycle usage,Protected Bike Lanes,"Urban infrastructure design, cycling safety technology.","The city aims to increase the amount of protected bike lanes by 40 percent over the next four years to create a safer environment for cyclists and encourage more residents to utilize bikes, thus reducing vehicle usage."
"Honolulu, Hawaii",18,Water-Related Issues (Urban flooding),High construction costs and barriers to affordable housing options.,Marketing Campaign for ADUs,"Digital marketing tools, online permitting systems, housing policy analytics.","Undertaking a marketing campaign and streamlining the permitting process to encourage the construction of Accessory Dwelling Units (ADUs), thereby increasing affordable housing availability."
"Honolulu, Hawaii",21,"Water-Related Issues (Urban flooding, Coastal flooding)",Inconsistencies in the inspection process affecting timely construction,Standardized inspection checks and requirements,"Standardization frameworks, Inspection software","Developing a standardized list of inspection checks ensures uniformity and consistency from all inspectors, which can help streamline the permitting process and support faster housing development that enhances resilience against flooding."
"Honolulu, Hawaii",22,Water-Related Issues (as energy efficiency is indirectly related to water use in power generation and impacts on urban flooding resilience),High urban residential electricity costs,Residential Energy Conservation Ordinance (RECO),"Energy efficiency auditing software, Standard Energy Disclosure Form, Energy benchmarking tools","The RECO will require sellers and lessors to disclose energy-related operational costs, allowing buyers/renters to make informed decisions regarding energy efficiency and ongoing utility costs, thereby lowering the long-term cost of living and possibly redistributing water demand associated with energy usage."
"Honolulu, Hawaii",25,Water-Related Issues,Food insecurity and reliance on imports,Freight Farms,"Hydroponics, shipping container technology, automated systems for water, light, and nutrient control","""Freight Farms is a Boston-based company that modifies shipping containers to grow hydroponic plants and vegetables"" which can help reduce dependence on imported food and improve local food production, particularly in urban areas."
"Honolulu, Hawaii",26,Extreme Weather Events,Vulnerability of infrastructure to climate change impacts,Establish Future Conditions Climate Resilience Design Guidelines,"Building design standards, Engineering best practices",These guidelines are designed to inform construction and design practices in order to increase resilience against future climate conditions and extreme weather events.
"Honolulu, Hawaii",27,Extreme Weather Events,Increased risk and losses associated with extreme weather events due to outdated infrastructure,Green Building Codes,"Green construction standards, energy efficiency technology, water conservation systems","Adopting tandem “green building codes” alongside standard building codes to increase energy efficiency and long-term cost savings for building owners and renters. The International Code Council’s Green Construction Code (IgCC) provides specifications for carbon footprint reduction, energy efficiency, water conservation, and overall building performance."
"Honolulu, Hawaii",28,Geological Hazards,Structural vulnerability of homes during extreme seismic events,Earthquake Brace + Bolt (EBB),"Seismic retrofitting technologies, online registration system","EBB provides financial incentives for homeowners to undertake seismic retrofits, such as bolting foundations and bracing cripple walls to prevent structural collapse during earthquakes."
"Honolulu, Hawaii",29,Water-Related Issues,Increased flood damage and financial risks due to extreme flood events,National Flood Insurance Program (NFIP) and Community Rating System (CRS),"Flood insurance program, Risk assessment tools, Community engagement platforms","The NFIP provides federally-subsidized insurance rates to property owners, tenants, and companies to protect against flood damage. The CRS is a voluntary program that rewards jurisdictions for implementing floodplain resilience activities, resulting in reduced flood insurance premiums for residents."
"Honolulu, Hawaii",30,"Extreme Weather Events, Water-Related Issues","Anticipated changes in temperature, precipitation, and sea levels",Climate Resiliency Design Guidelines - Version 3.0,"Science-based modeling, design frameworks","This version of the guidelines provides architects, engineers, and planners with instructions to incorporate science-based anticipated changes into the design of City facilities."
"Honolulu, Hawaii",31,Extreme Weather Events,Need for coordinated response to disasters involving multiple community layers,Community Resilience Network,"Community engagement platforms, educational resources, coordination tools","""These community assets also have clear benefits and enhance social resilience ahead of a disaster,"" serving as focal points for neighborhood revitalization and education efforts that increase community preparedness."
"Honolulu, Hawaii",32,Extreme Weather Events,Identifying and assisting the most vulnerable populations before and after environmental shocks,Social Vulnerability Index (SoVI),"GIS mapping, data analysis software","The SoVI is a customized index developed to assess community susceptibility to disasters based on socioeconomic variables, which aids in the prioritization of projects and policies to support those most in need."
"Honolulu, Hawaii",33,Extreme Weather Events,Identifying critical fuel sites for disaster response,Mapping Fuel Station Capacity,"Geographic information systems (GIS), data mapping","""The City will map the capacity and location of fuel stations located on O‘ahu, and then identify and prioritize the critical sites that are most important to ensure an adequate fuel supply across the island."""
"Honolulu, Hawaii",34,Extreme Weather Events,Assessing potential benefits of disaster-related financial instruments,Financial risk management tools,Financial modeling tools,"New models will inform financial risk management by assessing potential benefits of parametric insurance policies, catastrophe bonds, or reinsurance."
"Honolulu, Hawaii",35,Extreme Weather Events,Need for financial resources to enhance recovery efforts,Financing toolkit for recovery,Not specified in the content.,A financing toolkit accompanies the long-term disaster recovery plan to facilitate funding for resilient rebuilding and recovery efforts following disasters.
"Honolulu, Hawaii",36,Extreme Weather Events,Extreme heat,Keep O‘ahu Cool by Maintaining and Enhancing the Community Forest,"Urban forestry management systems, satellite monitoring for vegetation health","""Keep O‘ahu Cool by Maintaining and Enhancing the Community Forest"" emphasizes the importance of urban forestry in cooling cities and providing shade, thereby addressing extreme heat."
"Honolulu, Hawaii",37,Extreme Weather Events,The need for climate resilience investments that do not generate operating savings on their own,Municipal building programs similar to Boston's Renew Boston Trust,"Energy efficiency retrofits, municipal energy management systems, funding and financial mechanisms for climate resilience","The Renew Boston Trust program identifies energy efficiency retrofit opportunities at municipal buildings, using the resulting operating savings to fund climate resilience investments, thus enhancing the city's ability to combat extreme weather events."
"Honolulu, Hawaii",38,Water-Related Issues,Energy inefficiencies in commercial and municipal buildings leading to greenhouse gas emissions,Energy Benchmarking Standard for O‘ahu Commercial Buildings,"Energy benchmarking software, automated disclosure methods, real estate performance analytics, retro-commissioning tools.","Implementing a benchmarking standard for building energy tracks a building’s actual energy performance over time, allowing for transparent comparison against other buildings. This helps identify opportunities for technological and operational energy efficiency improvements and ensures optimal operation of building systems. Regular retro-commissioning reduces energy demand and improves occupant comfort."
"Honolulu, Hawaii",39,Extreme Weather Events,Inefficient energy use in existing buildings,Cooling System Retrofit Program,"Retrofitting technologies, permitting process streamlining",The City will develop a cooling system retrofit program for existing buildings in the distribution area to help streamline the permitting process for retrofits required for connecting to the district cooling system.
"Honolulu, Hawaii",40,Extreme Weather Events,Infrastructure failure during extreme weather events,Expand Opportunities for Methane Capture and Re-Use,"Methane capture technology, Biogas processing, Renewable natural gas (RNG) production","This initiative involves capturing and processing methane produced from decomposing organic waste in landfills and wastewater treatment processes. The captured methane can be used onsite for energy redundancy at wastewater plants, thus protecting against infrastructure failure during extreme weather events. Additional uses include powering fleet vehicles and providing renewable natural gas to homes and businesses, which can also improve air quality and reduce reliance on imported fossil fuels."
"Honolulu, Hawaii",41,Extreme Weather Events (indirectly through enhancing resilience to extreme events),Increased reliance on fossil fuels for transportation,Workplace Charging Stations,"Electric vehicles, Charging stations, Solar power systems, Energy management systems","The expansion of workplace charging stations allows electric vehicles to utilize solar power during the day and provide energy back to homes in the evening, thus supporting energy resilience and reducing reliance on fossil fuels."
"Honolulu, Hawaii",42,"Water-Related Issues (indirectly, through environmental benefits)",Poor biking infrastructure leading to limited mobility options,Biki Bikeshare,"Bikeshare technology, mobile applications","Biki has become a heavily used bikeshare system in Honolulu, promoting cycling as a viable transportation option, helping reduce car dependency, and encouraging a healthier lifestyle among residents."
"Honolulu, Hawaii",43,Extreme Weather Events,Heavy precipitation and urban flooding,Community-Based Renewable Energy Participation,"Renewable energy systems, community engagement platforms","Funds from the rebate program can support community-based renewable energy initiatives, allowing communities to better adapt to the impacts of heavy precipitation and the associated health and safety risks."
"Honolulu, Hawaii",45,Water-Related Issues,Urban design and infrastructure resilience in urban water management,Iwilei-Kapālama Resilience Roundtable,"Urban planning tools, community engagement platforms","Organized by the City, this roundtable included experts in urban water management and urban design to inform transit-oriented development and infrastructure planning, addressing water-related issues through community engagement and expertise sharing."
"Honolulu, Hawaii",46,Coastal flooding (incl. sea level rise),Coastal erosion and sea level rise,Revised Shoreline Management Rules,"Place-based shoreline erosion modeling, environmental and permitting reviews","By revising city regulations, including Chapter 21A, Flood Hazard Areas, Chapter 23, Shoreline Setbacks, and Chapter 25, Special Management Area, the City aims to better protect and preserve the natural shoreline and reduce risk and damages to properties and structures."
"Honolulu, Hawaii",47,Coastal flooding (incl. sea level rise),Funding and implementation challenges for coastal resilience,Property Tax Relief for Coastal Resource Management,"Tax management systems, collaborative resource management platforms",The City will develop policy to grant property tax relief to private property owners who pool resources to manage and preserve their coastal systems effectively.
"Honolulu, Hawaii",48,Water-Related Issues,Stormwater flooding and water quality impairment,Storm Water Enterprise Fund,"Green infrastructure, stormwater management systems, monitoring and reporting technologies","The Storm Water Enterprise Fund provides dedicated funding for stormwater management programs, including the development and implementation of infrastructure that manages stormwater quality and volume. It incentivizes property owners to adopt best management practices to reduce stormwater runoff."
"Honolulu, Hawaii",49,"Extreme Weather Events, Water-Related Issues",Urban flooding and Extreme heat,Sustainable Roof Systems,"Cool roofs, Green roofs, Blue roofs, Solar PV panels, Rainwater catchment","""By adapting our building rooftops we can more effectively combat the adverse effects of rainwater flooding and high temperatures."" Sustainable rooftop systems include ""blue roofs,"" ""green roofs,"" ""cool roofs,"" and on-site renewable energy generation, or combinations thereof."
"Honolulu, Hawaii",50,Extreme Weather Events,Loss of urban tree canopy impacting community health and resilience to increased heat,Community Forestry and Tree Canopy Expansion,"Data collection, urban forestry management tools, community engagement platforms","The City of O‘ahu aims to increase the tree canopy across communities to 35 percent by 2035 through various strategies, including policy updates, data collection, and community involvement. The initiative includes the expansion and updating of the Urban Tree Canopy Assessment to inform planning and investments."
"Honolulu, Hawaii",51,Water-Related Issues,Coordination challenges in managing flood and resilience efforts,Community Investment Vehicle (CIVic),"Stakeholder engagement, community-based planning tools, resilience planning frameworks","The CIVic aims to facilitate holistic coordination between stakeholders for infrastructure investment, resilience planning, and community engagement, addressing multiple resilience issues in the watershed beyond just stormwater management."
"Honolulu, Hawaii",53,Extreme Weather Events,Insufficient funding for community preparedness and resilience,Organized disaster fund structure,"Financial management systems, Fundraising platforms",The City will work with philanthropic partners to create a dedicated disaster fund structure to support community preparedness groups and to efficiently capture and distribute donations during emergencies.
"Honolulu, Hawaii",56,Extreme Weather Events (related to transportation safety during extreme conditions),Dangerous streets or intersections,Pop-up Framework for Streetscape Projects,"Community feedback platforms, temporary materials for street projects, design visualization tools","The City will develop a lighter, quicker, cheaper “pop-up” framework with opportunities for residents to identify dangerous streets or intersections and transform them through temporary streetscape projects."
"Honolulu, Hawaii",59,Community Cohesion,Understanding and addressing O‘ahu’s unique resilience challenges and climate change impacts,Place-Based Resilience Training Program,"Automated training video, City intranet.","This program is designed to equip City and County leadership with an understanding of O‘ahu’s cultural and environmental fabric in the context of climate change. By providing training on Hawaiian rights, cultural practices, and climate projections, the program enhances the city's capacity to tackle resilience challenges. An automated training and testing video will facilitate broader distribution of this knowledge among city employees."
"Honolulu, Hawaii",64,Water-Related Issues,Investing in energy efficiency and climate resilience,Green Revolving Fund,"Financial tracking software, energy management systems","The City will create a Green Revolving Fund to capture energy savings and re-invest in additional energy and efficiency projects, ensuring that projects that result in cost savings advance additional work across City facilities."
"Honolulu, Hawaii",66,Extreme Weather Events,Supply chain disruptions during disasters,Emergency Food Supply and Storage Strategy,"Supply chain management systems, Logistics technology",Establish an emergency food supply and storage strategy to ensure food security during and after natural disasters.
"Honolulu, Hawaii",67,Water-Related Issues,"Urban flooding, River flooding",Minimize Economic and Property Risk within the Ala Wai Canal Watershed,"Flood risk management tools, hydrology modeling systems",This approach focuses on reducing risks associated with flooding in the Ala Wai Canal watershed.
"Honolulu, Hawaii",70,Extreme Weather Events,Access to fuel during disasters and interruptions in services,Ensure Access to Fuel Supplies to Aid Disaster Response and Recovery,"Emergency fuel supply systems, disaster management logistics",Strategizing to provide access to fuel supplies during emergencies to support disaster response and recovery efforts.
"Honolulu, Hawaii",71,"Various (e.g., Extreme Weather Events, Water-Related Issues)",Various climate adaptation challenges,Chart a Climate Resilient Future by Creating and Implementing a Climate Adaptation Strategy,"Climate adaptation planning tools, risk assessment technologies",This strategy involves creating and implementing an adaptation plan that encompasses various solutions tailored to specific climate risks.
"Honolulu, Hawaii",72,Water-Related Issues,Urban flooding and coastal flooding (including sea level rise),Ala Wai Canal Flood Risk Management,"Flood risk management systems, environmental impact assessment tools",The U.S. Army Corps of Engineers is involved in managing flood risk in the Ala Wai Canal Watershed to minimize economic and property risk associated with flooding.
"Honolulu, Hawaii, USA",68,Water-Related Issues,Increased transportation demand,City-focused Transportation Demand Management (TDM) program,"Data analytics, telecommuting tools","""Develop a City-focused Transportation Demand Management (TDM) program"" which will include measures such as telework policies to reduce traffic congestion."
"Oakland, California",4,Extreme Weather Events,Preparedness for disasters,Neighbors Helping Neighbors,"Community engagement platforms, disaster preparedness tools",This initiative focuses on preparing vulnerable communities more effectively for disasters through community engagement and support networks.
"Oakland, California",7,"Extreme Weather Events, Water-Related Issues, Health Risks",Systemic challenges exacerbated by climate change,Data-driven principles to inform decision-making,"Data analytics, Artificial intelligence (AI), Decision-support systems","Implementing data-driven approaches enables better planning and resource allocation to adapt to various climate impacts, including extreme weather events and water-related challenges."
"Oakland, California",9,Water-Related Issues,Flood protection and water quality improvement,Measure AA,"Funding mechanisms, ecological restoration techniques","This measure raises funds for habitat restoration, improves water quality, and enhances flood protection across the Bay Area."
"Oakland, California",14,Water-Related Issues,Drought,Water conservation technology solutions,"Smart water meters, data analytics, remote sensing","During prolonged drought periods, Oakland experiences significant mandatory conservation requirements, which can be enhanced through technology-enabled solutions for monitoring and managing water use efficiently."
"Oakland, California",22,"Extreme Weather Events, Water-Related Issues, Health Risks, Geological Hazards",Ineffective community involvement in climate-related decision-making,Principles for Community Engagement,"Digital engagement tools, surveys, participatory budgeting","The City of Oakland is developing ""new principles for community engagement"" through collaborative workshops that focus on creating a ""collective understanding of successful and unsuccessful engagement methods"" and establishing ""applicable frameworks for discrete issues."" This initiative aims to improve community engagement in policy-making and program implementation related to various climate challenges."
"Oakland, California",25,Water-Related Issues,"Sea level rise, extreme storms, and urban flooding",Bay Area Resilient by Design challenge,"Collaborative design tools, stakeholder engagement platforms","""A unique nine-county pilot to co-create a vision for vibrant climate adaptation along our shoreline as the rate of sea level rise, extreme storms, and urban flooding accelerates."""
"Oakland, California",26,"Geological Hazards, Extreme Weather Events",Need for improved data accessibility and quality to inform resilience decision-making,Data Governance Plan,"Open Data Policy, data analysis methods, central data management systems","Oakland's Data Governance Plan seeks to increase data accessibility, improve data quality, and streamline management of data systems to assist in resilience building and informed decision-making regarding current and future climate risks."
