Source,Page,Technologies,Description,
"Vancouver, British Columbia, Canada",5,Green infrastructure,"""Green rainwater infrastructure at Sunset Park"" is an example of an adaptation measure addressing the impacts of extreme rainfall.",
"Vancouver, British Columbia, Canada",6,"Trees, green infrastructure","""Planting trees and installing green infrastructure to reduce the impacts of extreme heat also sequesters carbon.""",
"Vancouver, British Columbia, Canada",7,"Nature-based solutions, coastal engineering technologies","""Preventing shoreline squeeze—whereby rising sea levels reduce natural spaces along the coast—using nature-based adaptation approaches can help protect coastal habitats.""",
"Vancouver, British Columbia, Canada",9,Cooling supplies included in the kits.,"""The City's Cool Kits pilot program by building and distributing kits to people most in need to help them stay cool at home.""",
"Vancouver, British Columbia, Canada",10,"green rainwater infrastructure (GRI), engineered structures, natural water cycle restoration","""Between 2018 and 2023, the City implemented 76 green rainwater infrastructure (GRI) projects, cleaning and retaining rainwater runoff from 45,000 square meters of street."" GRI is a cost-effective approach to rainwater management that ""uses soils, plants, trees, and engineered structures to capture, store, and clean urban rainwater runoff.""",
"Vancouver, British Columbia, Canada",20,Not specified,"""The Urban Forest Strategy...outlines goals and targets to protect, plant, and manage trees to create a diverse, resilient, and beautiful urban forest on public and private lands across the city.""",
"Vancouver, British Columbia, Canada",26,Coastal resilience technologies,"""Piloting creative solutions for coastal resilience.""",
"Vancouver, British Columbia, Canada",28,None explicitly mentioned in the provided content.,"This solution provides a safe space for individuals to cool off during extreme heat events, addressing the mental health impacts due to social isolation and the demand for safe access to cool spaces.",
"Vancouver, British Columbia, Canada",30,Mechanical cooling systems,"""Retrofit two community-use facilities and one civic operations facility with mechanical cooling. Continue to develop design plans for future cooling upgrade projects while seeking external funding to accelerate retrofits for additional sites.""",
"Vancouver, British Columbia, Canada",31,"Monitoring technology, data analysis tools for pilot projects","""Protecting and growing Vancouver’s urban forest and greenspaces can mitigate these impacts,"" and actions include ""assessing the resilience of specific climate-adapted tree species to extreme heat and drought by implementing and monitoring three pilot tree-planting projects.""",
"Vancouver, British Columbia, Canada",34,"Building code enforcement, air filtration systems","""Explore and implement building code requirements for filtered outdoor air in new part 9 residential buildings.""",
"Vancouver, British Columbia, Canada",35,"Retrofit technologies (implied, specific technologies not detailed)","""Explore expanding social capital grants program to support resilient retrofits for social infrastructure to address near-term needs related to extreme heat and poor air quality events.""",
"Vancouver, British Columbia, Canada",37,"Water policy, irrigation systems","""Explore policy that prohibits the installation of in ground lawn irrigation systems that use potable water for new build permits applied for 2025 onwards.""",
"Vancouver, British Columbia, Canada",39,"Community engagement platforms, public awareness tools","""Pilot coordination of Adopt a Catch Basin program with Resilient Neighbourhoods Program to expand community participation and public awareness.""",
"Vancouver, British Columbia, Canada",41,"Naturalized adaptation technology, project engagement technology","""Begin design of naturalized shoreline adaptation approaches (e.g. for West End Waterfront Plan implementation) and continue project-specific engagement with Host Nations.""",
"Vancouver, British Columbia, Canada",44,"communication tools, translation services","""Enhance public communications around each of the climate-related hazards to improve the reach and relevance of City messaging by leveraging community partners and translating materials.""",
"Vancouver, British Columbia, Canada",47,"Engineered solutions, nature-based solutions, plants, soils, trees, built structures","""A suite of rainwater management tools that use both engineered and nature-based solutions to protect, restore, and mimic the natural water cycle."" It ""works with plants, soils, trees, and built structures to capture and clean rainwater before returning it to our waterways and atmosphere.""",
"Vancouver, British Columbia, Canada",53,Mechanical cooling systems (implied),"""These requirements will provide residents in new multi-family buildings with a thermally safe space to shelter in their homes during extreme heat events.""",
"Vancouver, British Columbia, Canada",54,"Tree planting, soil volume improvements","""New street trees, as they mature, help cool the air temperature of the surrounding area and lessen the urban heat island effect in targeted low canopy areas.""",
"Vancouver, British Columbia, Canada",55,"Monitoring systems, data analysis tools","""Develop a monitoring approach to track changes to tree coverage on private land as a result of permitted tree removal."" This solution aims to provide insights into tree population changes that can inform best practices for urban forest stewardship.",
"Vancouver, British Columbia, Canada",56,"Grant funding, infrastructure upgrades","""These grants and infrastructure upgrades would directly benefit those who use these buildings and services.""",
"Vancouver, British Columbia, Canada",57,Irrigation systems,"""Explore policy that prohibits the installation of in-ground lawn irrigation systems that use potable water for new build permits applied for 2025 onwards.""",
"Vancouver, British Columbia, Canada",58,"Data analysis software, communication tools","""Develop methods to quantify and communicate the service provision value of green rainwater infrastructure (GRI) for benefits such as drainage, livability, urban heat island mitigation.""",
"Vancouver, British Columbia, Canada",59,"Assessment tools, planning tools","""Changing coastal conditions and sea level rise mean amenities built in shoreline areas are at increasing risk of annual damage and require assessment and study to inform planning and implementation of more resilient coastal adaptation approaches.""",
"Vancouver, British Columbia, Canada",60,"Climate modeling tools, data collaboration platforms","""Collaborate with neighbouring local governments and First Nations on refined sea level rise projection criteria"" to supplement existing guidelines with updated projections based on new models and regional data.",
"Vancouver, British Columbia, Canada",61,Evaluation framework,"""A climate equity evaluation framework will enable continuous learning, feedback, and improvement throughout all aspects of the policy cycle from design, implementation, and end-cycle evaluation to ensure climate adaptation actions are achieving equitable outcomes.""",
"Vancouver, British Columbia, Canada",62,"Funding management systems, intergovernmental collaboration platforms","""Senior levels of government have a core leadership role to play in adaptation planning, as well as providing funding and other resources to help municipalities advance the goals and targets set out in the national and provincial adaptation strategies.""",
"Vancouver, British Columbia, Canada",63,"Communication platforms, translation services","""Enhance public communications around each of the climate-related hazards to improve the reach and relevance of City messaging by leveraging community partners and translating materials.""",
"Vancouver, British Columbia, Canada",65,Green infrastructure systems,"""Incorporate green rainwater infrastructure (GRI) into City right-of-way reconstruction projects.""",
"Vancouver, British Columbia, Canada",66,Urban park design and implementation technology,"""West End Waterfront Parks (Phase 1 Implementation)"" includes investments that are relevant to existing parks in the context of sea level rise adaptation.",
"Vancouver, British Columbia, Canada",67,Not specified.,"""Piloting Creative Solutions for Coastal Resilience"" indicates experimental initiatives aimed at enhancing resilience against coastal hazards.",
"Vancouver, British Columbia, Canada",68,None specified,"""Enhance public communications around each of the climate-related hazards to improve the reach and relevance of City messaging by leveraging community partners and translating materials.""",
"Vancouver, British Columbia, Canada",7,No information,"""The unique framing of Resilient Vancouver implemented through concrete actions like the... holistic Resilient Buildings model.""",
"Vancouver, British Columbia, Canada",14,(not specified),"""Vancouver developed an Earthquake Preparedness Strategy to prepare for and respond to earthquakes in Vancouver. This was the City’s first major strategy to address this hazard and identified 56 actions across three categories: volunteers and community, critical services and buildings.""",
"Vancouver, British Columbia, Canada",15,Green infrastructure,"""Vancouver is creating a Rain City Strategy to ensure the long-term resilience and sustainability of water resources, and the health of our residents and environment through the integration of green infrastructure.""",
"Vancouver, British Columbia, Canada",22,"Community engagement platforms, outreach tools","""The partnerships and networks established by these groups extend deep into the community and reach across other cities.""",
"Vancouver, British Columbia, Canada",24,Modelling tools,"""Is strengthening innovative modelling tools that help visualize the distribution of risk in order to support planning efforts and decision-making.""",
"Vancouver, British Columbia, Canada",31,Modular housing technology,"""The City of Vancouver is constructing temporary modular housing to provide immediate relief for hundreds of people living without a home."" Safe housing ""provides a platform for people to build healthy lives, and also reduces exposure to shocks, like extreme weather.""",
"Vancouver, British Columbia, Canada",36,"Engineering processes, visual assessment tools","""Vancouver’s Engineering Department has worked in partnership with local engineering firms to develop leading-edge processes to deploy and inspect priority bridges in the aftermath of an earthquake... the development of a unique assessment process for non-technical staff to facilitate expedited visual assessment to determine if a bridge should remain open or be closed.""",
"Vancouver, British Columbia, Canada",42,"Seismic assessment tools, modeling software","""In partnership with Natural Resources Canada, the University of British Columbia and local engineers, the City conducted a seismic risk assessment including over 90,000 buildings."" This assessment provides important information necessary to ""develop targeted policy to reduce risk, prevent loss and support our community to recover.""",
"Vancouver, British Columbia, Canada",43,"Seismic modelling, data analysis","""Modelling will continue to evolve, but this assessment provides us with the information necessary to develop targeted policy to reduce risk, prevent loss and support our community to recover.""",
"Vancouver, British Columbia, Canada",45,"Training programs, emergency response simulations","""Vancouver held Exercise VanSlam, a full-scale training exercise involving nearly 700 participants, to test the City’s response and communications plans.""",
"Vancouver, British Columbia, Canada",55,"Modified shipping container, lending library technology","""A Thingery is a community-owned lending library of things located in a modified shipping container. A Thingery helps create more resilient communities by reducing a person’s ecological footprint, strengthening social connections and assisting in emergency preparedness.""",
"Vancouver, British Columbia, Canada",56,"Training programs, organizational collaboration platforms","""Working together with the Park Board, Vancouver Public Library and the City will refine plans for these centres to contribute to an emergency response, and provide training to staff to support and host Resilient Neighbourhoods Events and Workshops.""",
"Vancouver, British Columbia, Canada",57,Collaborative partnership frameworks,"""The City of Vancouver is working with multiple partners to capture learnings and secure support for scaling the program through a networked approach.""",
"Vancouver, British Columbia, Canada",59,"Collaboration platforms, creative arts tools","""In 2019, Vancouver and Melbourne will collaborate to host Creative Approaches to Disaster Resilience, a creative lab and learning exchange bringing together artists, community organizations, scientists and emergency managers to explore creative opportunities to engage the community in resilience conversations.""",
"Vancouver, British Columbia, Canada",68,"Building lifecycle database, information tracking systems","""Vancouver will learn from other cities to scope and develop a Dynamic Building Lifecycle Database to track seismic and energy retrofits and other city metrics.""",
"Vancouver, British Columbia, Canada",69,"Planning tools, design modeling software, community engagement platforms","""The City Design Studio is developing a neighbourhood design tool that connects physical design indicators with resilience objectives."" This tool ""enables planners to evaluate the co-benefits and trade-offs of different design approaches on a wide range of objectives — from disaster risk reduction to walkable communities.""",
"Vancouver, British Columbia, Canada",70,"Framework alignment tools, collaboration platforms","""By aligning with the UN Sendai Framework, Vancouver can exemplify leading practices, share a common approach across decision makers and ensure that our actions towards disaster risk reduction and resilience amplify and integrate our social, economic and environmental sustainability objectives.""",
"Vancouver, British Columbia, Canada",71,"Geographic Information Systems (GIS), network design technology","""Map and design a disaster resilient lifelines network.""",
"Vancouver, British Columbia, Canada",73,"Data strengthening tools, modeling software","""By strengthening data and modelling capabilities and establishing indicators for resilience, the project will deepen regional collaboration and enable strategic investment in resilient physical and social infrastructure.""",
"Vancouver, British Columbia, Canada",76,Governance and collaborative policy frameworks,"""Through an expanded Resilient Buildings committee, staff responsible for policy related to housing, affordability, green buildings, seismic safety, heritage and accessibility will work together to identify co-benefits, promote innovation, explore incentives and set targets that balance and support multiple priorities.""",
"Vancouver, British Columbia, Canada",77,Sprinkler systems,"""Sprinklers.""",
"Vancouver, British Columbia, Canada",78,"Building evaluation technologies, retrofit technologies","""In California, policy options to reduce seismic risk for buildings range... to more intensive options like mandatory evaluation and retrofits.""",
"Vancouver, British Columbia, Canada",79,"Engineering assessment tools, construction technologies","""Wellington is prioritizing upgrades of buildings along critical transportation routes to ensure access and minimize disruption."" In addition, ""other critical buildings or especially weak buildings will also have an accelerated timeline for upgrade.""",
"Vancouver, British Columbia, Canada",80,"Risk assessment tools, asset management systems","""Vancouver will continue to leverage this federally designed program where appropriate to assess civic infrastructure, and integrate outcomes into our Asset Management Program.""",
"Vancouver, British Columbia, Canada",81,Buckling-restrained braces,"""To seismically retrofit the West Annex, engineers use buckling-restrained braces.""",
"Vancouver, British Columbia, Canada",82,"Geographic Information Systems (GIS), infrastructure modeling tools","""Map and assess feasibility for a prioritized, distributed network of shock-resilient lifeline infrastructure, including priority expansion of roads, bridges, hardened water and sewer systems and flood management infrastructure.""",
"Vancouver, British Columbia, Canada",83,"Hardened water lines, water tanks","""Hardened water lines can be hooked up to water tanks for neighbourhood water supply if household pipes are damaged.""",
"Vancouver, British Columbia, Canada",84,Urban planning and infrastructure design technologies,"The approach ""sets a strong precedent for future planning, and inspires the design of a city-wide resilient lifeline network"" to improve emergency connectivity.",
"Vancouver, British Columbia, Canada",86,Financing tools,"""Globally, new financing tools are emerging that support investment in resilient infrastructure that can be explored for application in our region.""",
"Vancouver, British Columbia, Canada",87,"Assessment tools, communication platforms","""As our seismic assessment process evolves, we will engage with and share our process and findings with regional municipalities, local First Nations, planning entities and infrastructure owners.""",
"Vancouver, British Columbia, Canada",92,Not specified,"""Train and support staff at community centres and libraries to participate in community disaster resilience.""",
"Vancouver, British Columbia, Canada",93,Project management technology,"""Establish targets for recovery and risk reduction through the Pathways to Disaster Risk Reduction Project""",
"Vancouver, British Columbia, Canada",94,Impact assessment processes,"""Pilot a cascading impact assessment process in partnership with the Port of Vancouver.""",
"Miami, Florida, USA",7,"Community technology platforms, emergency management systems","Discussions included topics like ""resilience hubs,"" which can serve as community resources during climate-related events.",
"Miami, Florida, USA",8,"Smart sensors, digital communication technologies","""Smart sensor and digital communication technologies enable us to better and more cost effectively understand our vulnerabilities, monitor results, manage our assets, and engage multiple stakeholders.""",
"Miami, Florida, USA",9,"Data analytics, human-centered design","""Ensure decisions are data-driven and human-centered"" to effectively prepare for and adapt to the climate challenges facing the community.",
"Miami, Florida, USA",13,Data collection and monitoring technology,"""Coordinate with the State, County, neighboring municipalities, community members, and university groups on enhancing the collection, monitoring, and analysis of Biscayne Bay water quality data to better understand sources of pollution.""",
"Miami, Florida, USA",14,"Data collection and evaluation, flood and water quality modeling, infrastructure recommendations, policy guidance design standards, tools and training.","""The SWMP to provide the City of Miami with a comprehensive planning document that will be used as a guide to improve the storm drainage system throughout the city."" This plan includes ""state of the art models and recommends improvements"" to address essential functional limitations and system deficiencies.",
"Miami, Florida, USA",15,Fleet analysis technology,"""Conduct a fleet analysis to determine best vehicles for future electric vehicle (EV) changeover.""",
"Miami, Florida, USA",17,outreach and communication technology,"""Create a campaign to inform and encourage proper selection, planting and maintenance of trees, with an emphasis on tree maintenance during hurricane season.""",
"Miami, Florida, USA",19,"Communication systems, resource distribution technology, community engagement platforms","""Resilience Hubs are community-serving facilities augmented to support residents, coordinate communication, and distribute resources, while enhancing quality of life. Hub sites will serve as central points of information and resource distribution (PODs) for City constituents before and after a disaster event but also provide our constituents with year-round programming, social services, and amenities that can connect them to economic opportunity and enhance public health and safety.""",
"Miami, Florida, USA",21,Tree canopy management,"""Enhanced tree canopy for shade and stormwater retention Citywide, ensuring they are storm resilient and properly maintained/trimmed.""",
"Miami, Florida, USA",22,"Environmental landscaping, native planting technology","""Develop and build upon landscaping and vegetation standards that require native plantings for city swales and along waterfront areas that are more resilient to salt water, hurricanes, and extreme weather events.""",
"Miami, Florida, USA",23,"Structural alternatives, backflow preventers","""Potential measures being considered include but are not limited to: structural alternatives (such as storm surge barriers, tidal gates and backflow preventers).""",
"Miami, Florida, USA",24,"Efficient building systems, sustainable design practices","""Make existing and new government buildings, assets, and fleet efficient, sustainable, and resilient.""",
"Miami, Florida, USA",25,Trolley app technology,"""Improve ease of use of trolley system by updating user interface of trolley app.""",
"Miami, Florida, USA",26,Construction review processes,"""Refine Construction Review and Sync Process (CRSP) to prioritize improved safety, mitigated losses, economic stability, equity, and environmental quality in City capital projects.""",
"Miami, Florida, USA",27,Assessment and audit tools,"""Apply portfolio assessment and property audit tool to all city-owned critical facilities to develop an updated, prioritized hazard mitigation plan.""",
"Miami, Florida, USA",28,"Emergency response technology, facility resilience tools","""Improve response ability, facility resilience, and community reach.""",
"Miami, Florida, USA",30,"LEED certification standards, building monitoring technologies","""Increase enforcement of existing requirement for buildings over 50,000 sq. ft. to be LEED certified or equivalent."" This mandates buildings to meet certain environmental standards which can enhance resilience against climate-related impacts.",
"Miami, Florida, USA",31,Not specified in the content,"""This guide is a toolkit containing a menu of land use actions that local governments can implement pre-disaster to facilitate post-disaster recovery and potentially minimize negative impacts, particularly in the face of climate-induced flooding and sea level rise.""",
"Miami, Florida, USA",32,"Inspection technology, monitoring systems","""Develop a 5 year re-inspection program for all on-site drainage systems to ensure systems are still functional and prepared for future sea level rise.""",
"Miami, Florida, USA",22,"Community engagement platforms, educational technologies","""Local nonprofits have a renewed interest in building disaster awareness and preparedness at the community level.""",
"Miami, Florida, USA",24,Public transportation technology,"""Several GM&B municipalities... operate trolley systems without fares to encourage ridership.""",
"Miami, Florida, USA",28,"Accelerator process, project development","""Four projects were put through an intensive three-day development (‘accelerator’) process led by Colombia University and 100RC.""",
"Miami, Florida, USA",30,"Volunteer coordination systems, risk management committees","""Through neighborhood risk management committees, Quito is developing networks of young volunteers who are ready to respond to a variety of natural hazards to ensure the most vulnerable residents in their communities are kept safe.""",
"Miami, Florida, USA",31,"collaboration tools, partnership frameworks","""The GM&B team joined other 100RC member cities in Santiago de Chile to share experiences, tools and, tactics that build resilience at a metropolitan scale through regional, inter-governmental partnerships and collaboration.""",
"Miami, Florida, USA",36,"Communication technology, collaboration platforms","""Engage in knowledge sharing practices and a unified network.""",
"Miami, Florida, USA",37,"Electric vehicles (EVs), charging stations","""One way the City has focused on achieving this goal is integrating EVs into its City fleet,"" which includes established goals for the number of electric vehicles (EVs) and the installation of charging stations to support their use.",
"Miami, Florida, USA",42,Database,"""The purpose of the network is to strengthen relationships and improve communication among natural resource practitioners, build capacity across the region, and coordinate efforts related to Biscayne Bay management that accelerate action and maximize impact.""",
"Miami, Florida, USA",43,"Coastal modeling, artificial reef structures.","""The Artificial Reef Program will seek to further enhance nearshore recreational benefits, provide additional habitat structure, and look for opportunities to further reduce storm-related coastal impacts."" Additionally, ""Miami-Dade County will perform coastal modeling to determine the feasibility of using structures, such as submerged artificial reef material, to promote greater coastal habitat and shoreline resilience.""",
"Miami, Florida, USA",44,Not specified,"""Miami-Dade County manages its beaches, which are a vital buffer between coastal infrastructure and the impacts of wave action and surge during storm events."" The county will collaborate with U.S. Army Corps of Engineers on a ""comprehensive beach management plan that supports coastal sustainability and protection.""   Technologies: Beach nourishment, feasibility study, coastal management planning.",
"Miami, Florida, USA",46,"Nature-based solutions, Community engagement strategies","""It is anticipated that the TNC nature-based coastal resilience project... will also help inform the design and implementation of some of the four prioritized projects.""",
"Miami, Florida, USA",47,"Native vegetation restoration, habitat creation","""Living shorelines... are called living shorelines because native vegetation allays the impacts of sea level rise and climate change.""",
"Miami, Florida, USA",48,"Urban planning technologies, transportation technologies (bike-friendly infrastructure)","""The Miami-Dade County Parks and Open Space Master Plan... provides community and ecosystem resilience by creating an integrated network of parks, open spaces, trails, civic spaces, and streets that are pedestrian- and bike-friendly.""",
"Miami, Florida, USA",49,"Sustainable landscaping, stormwater management systems, pervious paving systems","""The proposed 3-acre public park ... will include significant and measurable resilience and sustainability components."" This includes ""stormwater retention capabilities"" and ""infrastructure for treating water going to the 6th Street outfall.""",
"Miami, Florida, USA",50,"Salinity control structures, storm surge barriers, land acquisition, mangrove restoration, reef restoration","""U.S. Army Corps of Engineers has launched a 3-year, $3 million Coastal Storm Risk Management Feasibility Study (CSRM) to explore measures such as upgrading the salinity control structures along the major canals to serve as storm surge barriers, acquisition of land in the floodplain, and/or restoration of mangroves and reefs.""",
"Miami, Florida, USA",51,Infrastructure projects,"""GM&B will also identify short-term capital projects to be implemented by 2022 that will increase the area’s resilience to anticipated coastal flooding.""",
"Miami, Florida, USA",53,Energy and water monitoring systems,"""Benchmarking Training workshops to develop skills in analyzing County buildings’ energy and water use over time, including comparison to other facilities.""",
"Miami, Florida, USA",54,"Online tool for data gathering, checklist format","""Miami-Dade County will develop a sea level rise checklist that compliments existing resilience training programs for capital planning."" This checklist will help ensure that new infrastructure is built to ""withstand future floods and storms"" and provides a ""consistent approach across departments to integrate climate change considerations into project designs.""",
"Miami, Florida, USA",55,"Development review processes, resource guides, checklists.","""GM&B will complete a Development Review Checklist and guidance document for GM&B municipalities to use in support of integrating resilience and equity into their development review processes."" This checklist aids in ""incorporating resilience considerations into their design, planning, and development processes"" and serves as a decision-making tool for land use changes to improve natural disaster preparedness and reduce flooding impacts.",
"Miami, Florida, USA",57,None specified in the content.,"""The City’s four land use boards would incorporate principles to address and plan for the effects of sea level rise and climate change."" This process has led to new developments that are ""more resilient to extreme weather, more energy efficient, and increasingly adaptable to rising seas.""",
"Miami, Florida, USA",58,Online portal technology,"""Templates for resilience components—such as those related to Florida’s Peril of Flood legislation—will be made available (via a new, online easy-to-use portal) to GM&B municipalities to adopt as relevant in their communities.""",
"Miami, Florida, USA",59,"Information dissemination platforms, investment analysis tools","""The Miami-Dade Beacon Council, assisted by Miami-Dade County, will create an investment prospectus providing potential Opportunity Fund investors with information on zoning, existing and planned infrastructure, and community goals.""",
"Miami, Florida, USA",61,Smart trails infrastructure,"""The SMART Plan will be complimented by a SMART Trails Plan to expand access non-vehicular opportunities.""",
"Miami, Florida, USA",62,"Real-time navigation technology, broadband connectivity, dedicated space for last-mile options, supportive infrastructure for electric transportation, permeable surfaces.","""Miami-Dade County will develop Mobility Hubs around current Metrorail, Metromover, and Strategic Miami Area Rapid Transit (SMART) Plan Corridor stations,"" providing ""physical improvements that seamlessly integrate different modes of transportation together."" The Mobility Hubs will enhance the reach of transportation corridors and expand multimodal benefits to additional neighborhoods.",
"Miami, Florida, USA",63,"Urban greening, horticulture, public art","""Growing Green Bus Stops began as pilot project created by Neat Streets Miami... to mitigate the urban heat island effect and enhance the transit experience for riders."" The project involved planting canopy trees at unshaded bus stops to create shade, beautify roadways, and engage the public.",
"Miami, Florida, USA",64,"Data-driven research, open collaboration tools, public transit technology","""Transit Alliance... will spend the next 2 years redesigning the Metrobus route network to create a more efficient and more cohesive public transit system."" The reconfiguration aims to ""improve service on highly frequented routes; create better connections to other bus lines, trolleys, and other modes of transit; and, design more logical and intuitive route paths.""",
"Miami, Florida, USA",65,"Autonomous vehicles (AVs), on-demand transit circulators, digital interface for AV drop-offs and pick-ups","""Miami-Dade County will conduct numerous public workshops to determine which new technology tools and mobility options public and private transportation system customers are comfortable using. At the same time, demonstration projects will be conducted using autonomous vehicles (AVs) and on-demand transit circulators (hail on demand) to evaluate whether these technologies can be successfully integrated into the existing transportation system.""",
"Miami, Florida, USA",66,"Information sharing platforms, collaborative networks","""GM&B municipalities with existing EV policies and fleets will share their experiences and best practices with other GM&B municipalities to reduce potential concerns and issues.""",
"Miami, Florida, USA",67,"Electric vehicles (EVs), charging stations","""The City has focused on achieving this goal by integrating EVs into its City fleet."" The City established a goal of ""78 EVs, which represents 60 percent of their administrative fleet."" The installation of ""22 charging stations, with a goal of expanding to 43 by 2021,"" supports this transition.",
"Miami, Florida, USA",68,"Renewable energy systems, battery storage, microgrids","""Increasing production of renewable energy, battery storage, and similar energy storage systems and microgrids.""",
"Miami, Florida, USA",69,"Technical assistance tools, strategic planning frameworks","""The City Energy Project (CEP) is a national initiative that provides technical and strategic assistance to local governments developing programs such as BE 305."" Its goal is to improve the efficiency of buildings and create healthier cities.",
"Miami, Florida, USA",71,"HVAC systems, plumbing systems, electrical systems, structural engineering, elevator technology, utility connections","""The City of Miami Beach adopted a parking garage convertibility criterion in 2016... The criteria for designing a parking garage that could be converted to future housing units include... increased floor-to-floor heights... maximized flat area floor plates... reduced vehicular ramp footprints... structural design to accommodate change of use... inclusion of vertical plumbing/waste chases or core... potentially include larger elevator shafts... provide utility connection points for future use.""",
"Miami, Florida, USA",72,"Hardened buildings, elevated back-up generators, solar power, hot water systems.","Miami-Dade County plans to ""redevelop these under the U.S. Department of Housing and Urban Development (HUD) Rental Assistance Demonstration (RAD) plan"" with an emphasis on ""hardened buildings; elevated back-up generators to power common areas; use of solar power and hot water systems."" This initiative aims to improve housing quality and affordability while maintaining tenant rights.",
"Miami, Florida, USA",78,Outreach technology,"""Continue and expand outreach to businesses related to disaster preparedness, response, and recovery.""",
"Miami, Florida, USA",83,"Information systems, resource directories, collaborative platforms","""GM&B partners have established policies and programs that provide preference and support for buying and hiring from local businesses."" This strategy involves using information from studies and upcoming action items to support “buy and hire local” actions, with a focus on local businesses and minority-owned, woman-owned enterprises.",
"Miami, Florida, USA",84,Online response system,"“The 2020 census, for the first time ever, will offer online response as the primary option to all respondents.” This solution aims to increase participation rates in the census, especially among hard-to-count populations.",
"Miami, Florida, USA",88,"Data system, big data decision making","""Together for Children... aims to address known risk factors that lead to youth violence by effectively connecting youth and their families to neighborhood support, services, and other resources."" The program includes ""a specialized data system that will lead to refined metrics and data collection processes that will work to correlate the relationship of collective engagement of community with community safety.""",
"Miami, Florida, USA",93,"Medical supervision, medication-assisted treatment, behavioral health technology","""This program is a major step forward, serving about 100 individuals a year over 3 years, but it will not produce enough new treatment capacity to help everyone in the throes of opioid addiction."" It allows individuals to opt-in to ""direct substance abuse and mental health treatment services without having them enter the criminal justice system."" Participants ""sign a binding treatment agreement that admits them to JBHH for medically supervised withdrawal and medication assisted treatment, as well as mandated therapy and individual case management.""",
"Miami, Florida, USA",95,Third-party prescription pickup services,"""IDEA Exchange was informed about third-party prescription pickup and was authorized to pick up medication for seven of their clients, removing a barrier to medical compliance.""",
"Miami, Florida, USA",98,"GIS mapping, training technologies","""The Community Emergency Response Team (CERT) Program empowers communities and educates residents about disaster preparedness for hazards that may impact their area and trains them in basic disaster response skills."" It includes efforts to ""GIS map and identify CERT gaps within GM&B to facilitate CERT programs, coordinate CERT teams, and provide training to CERT team leaders.""",
"Miami, Florida, USA",99,"Coordination platforms, community engagement tools","""The team also worked with local supermarkets and restaurants to fill the five local food banks and activate volunteers to help cook for hungry residents.""",
"Miami, Florida, USA",100,"Online portal, volunteer management system","""United Way recently expanded its online portal for recruiting and connecting with volunteers before, during, and after a disaster."" The portal allows for identifying volunteers by special trainings and skills and promotes training offered by partners. It also will support municipalities and community organizations in posting and promoting volunteer opportunities for disaster-related activities.",
"Miami, Florida, USA",101,"Online information dissemination, workshops, outreach events, data analysis tools","""The City of Miami will partner with public and private organizations to develop outreach content and events to assist property owners to understand their vulnerability to flooding and their options for reducing that risk."" The program aims to ""improve residents’ preparedness for flood-related incidents,"" ""increase citizen’s confidence in their ability to adapt to changing environmental conditions,"" and ""strengthen the lines of communication between local governments and residents.""",
"Miami, Florida, USA",102,"Communication pathways, community engagement platforms, social services integration","""Resilience hubs will serve a crucial role in disaster preparation and response, but they will also operate year-round."" They aim to ""improve connection and access to information and services"" vital for community building and personal resilience. Additionally, they will ""establish clear communication pathways during disaster events to ensure community needs are met.""",
"Miami, Florida, USA",103,"311 Contact Center, informational scripts, FAQs","""Miami-Dade County has a robust and well-developed 311 Contact Center that addresses questions and places service requests from callers; this center is an excellent resource that can be used by GM&B."" The 311 Contact Center will distribute resilience-related information about ""relevant direct services and projects."" GM&B will provide ""an informational script and FAQs designed to provide information about our shocks, stressors, actions, and services,"" and the center will disseminate this information to callers.",
"Miami, Florida, USA",106,"Art competition platform, digital content creation","""GM&B will support the work of the Miami-Dade Cultural Affairs Department to host a public art contest to provide a non-predictable, perhaps controversial view of Resilient305."" The winning materials will be added to the suite of “resilience visuals” available for use throughout the GM&B region.",
"Miami, Florida, USA",115,Economic analysis tools,"""Demonstrate Cost Benefits of Resilience"" showcases the economic advantages of investing in resilience projects to encourage further investment.",
"Miami, Florida, USA",116,"Toolkit for intergovernmental coordination, emergency management planning","""The toolkit is aligned with the County’s recently updated Post Disaster Redevelopment Plan (PDRP) and is an appendix to the County’s Comprehensive Emergency Management Plan."" It ""provides awareness of what government response is and helps to clarify responsibilities,"" and ""spells out steps to set up for a recovery process that supports a rapid bounce forward.""",
"Miami, Florida, USA",117,"Financial planning tools, parametric insurance","""This guide focuses on financial preparedness to recover faster after an event."" It ""includes a list of financing options for recovery, and their benefits and drawbacks.""",
"Miami, Florida, USA",118,None specified,"""It is a guide for governments and other urban stakeholders in the GM&B region that contains recommendations for land use actions that local governments can implement before a disaster to facilitate post-disaster recovery and potentially minimize negative impacts.""",
"Miami, Florida, USA",119,None specified,"""Miami-Dade County will collaborate with GM&B partners to host an intensive 1-day workshop every January for the next 3 years. The boot camp is geared to newly elected and re-elected local municipal elected officials and is intended to grow our leadership commitments beyond mayors."" Participants will leave with ""the tools, tips, tricks, and relationships to operationalize the Resilient305 Strategy and support their CROs in action and implementation.""",
